worm genus;a genus of worms
phylum cryptophyta;a phylum in the kingdom protoctista
genus neritina;a genus of neritidae
genus nesokia;bandicoot rats
carpinus;mostly deciduous monoecious trees or shrubs: hornbeams. sometimes placed in subfamily carpinaceae
genus loris;type genus of the lorisidae
family rhiptoglossa;old world chameleons. in some classifications rhiptoglossa is considered a superfamily of sauria
genus arizona;glossy snake
genus boletus;type genus of boletaceae. genus of soft early-decaying pore fungi. some poisonous and some edible
family torpedinidae;electric rays
perdicidae;old world partridges
padda;a genus of ploceidae
toxotes;type genus of the toxotidae
bombax;trees of chiefly south america
vidua;whydahs
strophariaceae;sometimes included in family agaricaceae
genus roridula;insectivorous undershrubs of south africa. in some classifications placed in the family droseraceae
genus parkia;genus of tropical old world trees: nitta trees
notoryctus;type genus of the family notoryctidae: comprising solely the marsupial mole
hypericum;large almost cosmopolitan genus of evergreen or deciduous shrubs and herbs with often showy yellow flowers. cosmopolitan except tropical lowlands and arctic or high altitudes and desert regions
genus dolichos;genus of chiefly tropical vines often placed in genera dipogon or lablab or macrotyloma
calystegia;climbing or scrambling herbs: bindweed
caltha;a genus of caltha
argyroxiphium;small genus of hawaiian spreading and rosette-forming shrubs
gobio;true gudgeons
gavialidae;gavials
monocanthidae;filefishes
vesicaria;small genus of chiefly mediterranean herbs: bladderpods
onobrychis;genus of old world herbs having pinnate leaves and pink or whites racemose flowers followed by flat unjointed pods
bougainvillaea;ornamental tropical woody vines
family picidae;woodpeckers
genus calandrinia;large genus of low-growing herbs. widespread throughout tropical and warm temperate regions having usually basal leaves and panicles of purplish ephemeral flowers
cola;large genus of african trees bearing kola nuts
cracidae;curassows. guans. chachalacas
podicipedidae;coextensive with the order podicipitiformes
pandionidae;ospreys
zygophyllaceae;small trees, shrubs, and herbs of warm arid and saline regions. often resinous. some poisonous: genera zygophyllum. tribulus. guaiacum: larrea
heliothis;a genus of noctuidae
genus otus;a genus of strigidae
genus sepia;type genus of the sepiidae
genus pimpinella;anise
grapevine family;a family of vines belonging to order rhamnales
genus sclerotium;form genus of sterile imperfect fungi. many form sclerotia. some cause sclerotium disease in plants
micteria;a genus of birds of the family ciconiidae including wood ibises
isopoda;woodlice
class crinoidea;sea lilies
euronithopod;widespread group including duck-billed dinosaurs and their early relatives (hadrosaurs. trachodon. iguanodon)
ophidia;snakes
nidulariaceae;bird's-nest fungi
genus mammuthus;extinct genus: mammoths
lachnolaimus;a genus of labridae
salientia;frogs, toads, tree toads
order lagomorpha;rabbits. hares. pikas. formerly considered the suborder duplicidentata of the order rodentia
family ornithorhynchidae;platypus
acer pennsylvanicum;maple of eastern north america with striped bard and large 2-lobed leaves clear yellow in autumn
class arachnida;a large class of arthropods including spiders and ticks and scorpions and daddy longlegs. have four pairs of walking legs and no wings
marginocephalia;includes bone-headed (pachycephalosaurs) and horned (ceratopsian) dinosaurs
dorylinae;army ants
genus vultur;usually restricted to the andean condor
genus littorina;type genus of the family littorinidae: periwinkles
dactylis;a monocotyledonous grass of the family gramineae (has only one species)
genus piptadenia;tropical american trees and shrubs. often placed in other genera
epacris family;australasian shrubs or small trees
genus eptesicus;a genus of vespertilionidae
genus ixobrychus;bitterns
genus hyssopus;eurasian genus of perennial herbs or subshrubs
genus helvella;type genus of the helvellaceae
genus aporocactus;small genus of epiphytic cacti of mexico
pagophilus;harp seals
genus okapia;okapis
family scheuchzeriaceae;a family of monocotyledonous bog herbs of order naiadales
suborder menurae;lyrebirds and scrubbirds
conocarpus;monotypic genus of tropical american trees: button tree
thespesia;small genus of tropical trees: portia tree
acanthus family;widely distributed herbs and shrubs and trees. sometimes placed in the order scrophulariales
pilularia;pillworts
genus mesocricetus;golden hamsters
chlorophis;african green snakes
barbarea;biennial or perennial herbs of north temperate regions: winter cress
genus oryzopsis;rice grass
zaglossus;a genus of tachyglossidae
hemipteronatus;razorfishes
mya;type genus of the family myacidae
order xiphosura;horseshoe crabs and extinct forms
genus notornis;a genus of rallidae
genus culcita;includes some plants usually placed in e.g. genus dicksonia: terrestrial ferns resembling bracken. tropical america. malaysia to australia and polynesia. southwestern europe and atlantic islands
hymenophyllum;type genus of the hymenophyllaceae: filmy ferns
conradina;small genus of low aromatic shrubs of southeastern united states
sylviidae;in some classifications considered a subfamily (sylviinae) of the family muscicapidae: old world (true) warblers. american kinglets and gnatcatchers
genus dendromecon;1 species: bush poppy
tenthredinidae;sawflies
genus biscutella;genus of eurasian herbs and small shrubs: buckler mustard
lampyridae;fireflies
suborder anseres;used in some especially older classifications. coextensive with the family anatidae
family magnoliaceae;subclass_magnoliidae: genera liriodendron. magnolia. manglietia
mammal genus;a genus of mammals
genus nitrobacter;rod-shaped soil bacteria
order diptera;true flies. mosquitoes. gnats. crane flies
ceroxylon;wax palms
family corixidae;water bugs
mastigophora;protozoa having flagella
hirundo;type genus of the hirundinidae
genus agapornis;a genus of psittacidae
family cyprinodontidae;large family of small soft-finned fishes. killifishes. flagfishes. swordtails. guppies
heritiera;small genus of timber trees of eastern asia, australasia and tropical africa that form large buttresses
trimorphodon;lyre snakes
sequoiadendron;giant sequoias. sometimes included in the genus sequoia. until recently placed in the taxodiaceae
elaeagnus;oleaster
bovinae;term not used technically. essentially coextensive with genus bos: cattle. buffalo. and sometimes includes kudu
superfamily sphecoidea;families sphecidae and stizidae
sesamum;tropical african and indian herbs
genus sadleria;low tree ferns with large fronds. in rain forests and on lava flows of hawaiian islands
genus woodsia;genus of small to medium-sized usually rock-inhabiting ferns of temperate and cold regions. in some classification systems placed in polypodiaceae
teleostei;large diverse group of bony fishes. includes most living species
tacca;genus of tropical plants with creeping rootstocks and small umbellate flowers
liparis;type genus of the liparididae: snailfishes
family zapodidae;jumping mice
caviidae;a family of hystricomorpha
cocculus;climbing plants or shrubs
genus dioon;small genus of arborescent cycads of mexico and central america. sometimes classified in family cycadaceae
cliftonia;1 species: titi
diapensiales;used in some classifications: coextensive with family diapensiaceae
hypochaeris;widely distributed genus of milky-juiced herbs including some cosmopolitan weeds
genus athyrium;temperate and tropical lady ferns. in some classifications placed in family polypodiaceae or in the genus asplenium
macrodactylus;a genus of melolonthidae
megaloptera;in some classifications considered a separate order: alderflies. dobsonflies. snake flies
genus cassia;some cassia species often classified as members of the genus senna or genus chamaecrista
acer macrophyllum;maple of western north america having large 5-lobed leaves orange in autumn
shorea;genus of indo-malaysian timber trees rich in resin
family hipposideridae;old world leafnose bats
phoxinus;minnows
aristolochiaceae;birthworts. wild ginger
genus uca;fiddler crabs
euascomycetes;category not used in many classification systems
genus pseudopleuronectes;a genus of pleuronectidae
pholistoma;straggling herbs of southwestern united states
family marchantiaceae;liverworts with prostrate and usually dichotomously branched thalli
genus emberiza;old world buntings
genus pteropogon;genus of australian and south african herbs including some from genus helipterum
family otariidae;eared seals: sea lions and fur seals
family plumbaginaceae;perennial herbs and shrubs and lianas. cosmopolitan especially in salt-water areas
geoglossum;type genus of the geoglossaceae comprising the earthtongues
genus fabiana;genus of south and central american heathlike evergreen shrubs
family alaudidae;larks
armoracia;horseradish
genus gerardia;genus of annual or perennial herbs with showy pink or purple or yellow flowers. plants often assigned to genera aureolaria or agalinis
hypsiprymnodon;musk kangaroos
lentinus;a genus of fungus belonging to the family tricholomataceae
genus ondatra;muskrats
genus astropogon;a genus of fish of the family apogonidae
phasmida;in some classifications considered a suborder of orthoptera: stick insects. leaf insects
lari;gulls. terns. jaegers. skimmers
plant family;a family of plants
family pterodactylidae;a reptile family in the order pterosauria
stictomys;mountain pacas
akeridae;bubble shells
genus ophisaurus;glass lizards
genus mercurialis;a genus of slender herbs belonging to the family euphorbiaceae
phytophthora;destructive parasitic fungi causing brown rot in plants
anagallis;chiefly old world herbs
gymnocalycium;large genus of low-growing globular south american cacti with spiny ribs covered with many tubercles
cynocephalidae;a family of dermoptera
ebony family;fruit and timber trees of tropical and warm regions including ebony and persimmon
aquila;a genus of accipitridae
genus glechoma;ground ivy
pterospermum;genus of tropical asian trees and shrubs
emberizidae;buntings and some new world sparrows
genus erica;large genus of low much-branched woody evergreens ranging from prostrate subshrubs to trees: true heaths
lygus;plant-sucking bugs
thysanura;firebrats. silverfish. machilids
family tenrecidae;tenrecs and extinct related forms
family tethyidae;sea hares
family erethizontidae;new world arboreal porcupines
notophthalmus;newts
genus mimosa;genus of spiny woody shrubs or trees. named for their apparent imitation of animal sensitivity to light and heat and movement
genus nitrosomonas;ellipsoidal soil bacteria
genus aulostomus;type genus of the aulostomidae
cephalotus;one species: australian pitcher plant
genus alopecurus;annual or perennial grasses including decorative and meadow species as well as notorious agricultural weeds
genus apocynum;perennial herbs with small pink or white flowers
anseriformes;ducks. geese. swans. screamers
genus nabalus;genus of north american and east asian perennial herbs. sometimes included in genus prenanthes
fouquieriaceae;small family of spiny shrubs or trees of southwestern united states
toxotidae;archerfishes
family ancylidae;freshwater gastropod
spheniscidae;comprising all existing penguins
aceraceae;a family of trees and shrubs of order sapindales including the maples
genus sticherus;umbrella ferns. warm regions of australia and new zealand
family sagittariidae;secretary birds
pulicidae;many common fleas attacking humans and domestic animals
family scolopacidae;sandpiper family: sandpipers. woodcocks. snipes. tattlers. curlews. godwits. dowitchers
meconopsis;herbs almost entirely of mountains of china and tibet. often monocarpic
tribe;(biology) a taxonomic category between a genus and a subfamily
class symphyla;small class of minute arthropods. unimportant except for the garden centipede
genus doryopteris;small to medium tropical tufted ferns. sometimes placed in family adiantaceae
genus halenia;genus of herbs of eurasia and the americas: spurred gentians
haematobia;european genus of bloodsucking flies
marsupialia;coextensive with the subclass metatheria
sulidae;gannets and boobies
family icteridae;american orioles. american blackbirds. bobolinks. meadowlarks
pterodactylidae;a reptile family in the order pterosauria
genus selenicereus;mostly epiphytic climbing cacti that bloom at night
genus acinonyx;cheetahs
graptophyllum;caricature plant
family cephalotaceae;a family of plants of order rosales. coextensive with the genus cephalotus
pellaea;genus of chiefly small rock-loving ferns. in some classifican systems placed in family polypodiaceae or adiantaceae
sison;stone parsley
selaginella;type and sole genus of the selaginellaceae. evergreen mosslike plants: spike moss and little club moss
genus picea;a genus of temperate and arctic evergreen trees (see spruce)
genus canavalia;herbs or woody vines of mainly american tropics and subtropics
gryllidae;crickets
megalobatrachus;giant salamanders. in some classifications included in the genus cryptobranchus
genus schefflera;large genus of shrubby and climbing tropical plants having showy digitately compound foliage
family veneridae;hard-shell clams
micromyx;old world harvest mice
motacilla;type genus of the motacillidae: wagtails
alyssum;a genus of the family cruciferae
stromateidae;butterfishes: harvest fishes. dollar fishes
odontophorus;genus of central and south american crested partridges resembling quails. sometimes placed in a distinct subfamily or isolated in a distinct family
halenia;genus of herbs of eurasia and the americas: spurred gentians
genus trombicula;type genus of the family trombiculidae
acrocarpus;small genus of trees of indomalaysia
humulus;hops: hardy perennial vines of europe, north america and central and eastern asia producing a latex sap. in some classifications included in the family urticaceae
limanda;a genus of pleuronectidae
leccinum;a genus of fungi belonging to the family boletaceae
plantaginales;coextensive with the family plantaginaceae
big leaf maple;maple of western north america having large 5-lobed leaves orange in autumn
genus eumetopias;sea lions
genus dendrolagus;tree wallabies
collembola;minute wingless arthropods: springtails
oedogoniaceae;filamentous green algae
thalictrum;widely distributed genus of perennial herbs: meadow rue
genus mirabilis;four_o'clocks
fregatidae;frigate birds
genus trachurus;scads esp. horse mackerels
genus haliaeetus;a genus of accipitridae
discoglossidae;family of old world toads having a fixed disklike tongue
genus aleyrodes;type genus of the aleyrodidae
manduca;moths whose larvae are tobacco hornworms or tomato hornworms
genus galleria;a genus of pyralidae
sapindus;type genus of the sapindaceae
genus porzana;spotted crakes
rheum;rhubarb
genus paleacrita;geometrid moths
sporozoa;strictly parasitic protozoans that are usually immobile. includes plasmodia and coccidia and piroplasms and malaria parasites
siluriformes;an order of fish belonging to the superorder malacopterygii including catfishes
genus phylloxera;type genus of the phylloxeridae: plant lice
order salientia;frogs, toads, tree toads
cnemidophorus;whiptails
family chaetodontidae;butterfly fishes
tetrao;type genus of the tetraonidae: capercaillies
mycobacteriacaea;a family of bacteria
peristedion;in some classifications the type genus of the subfamily peristediinae: armored sea robins
genus flacourtia;often spiny trees or shrubs of tropical asia and africa
coptis;small genus of low perennial herbs having yellow rhizomes and white or yellow flowers
genus retama;small genus of mediterranean shrubs. often included in genus genista
zingiberaceae;a family of tropical monocotyledonous plants of order musales
genus geophilus;type genus of the geophilidae: cosmopolitan genus of centipedes sometimes called earwigs
borassus;palmyra
genus capsicum;chiefly tropical perennial shrubby plants having many-seeded fruits: sweet and hot peppers
family aplysiidae;sea hares
genus capros;a genus of fish in the family caproidae
genus piper;type genus of the piperaceae: large genus of chiefly climbing tropical shrubs
genus anagallis;chiefly old world herbs
genus drimys;shrubs and trees of southern hemisphere having aromatic foliage
sorghum vulgare technicum;tall grasses grown for the elongated stiff-branched panicle used for brooms and brushes
codiaeum;evergreen tropical trees and shrubs with thick and colorful leathery leaves. malaya and pacific islands
polyodon;type genus of the polyodontidae
genus tulestoma;type genus of the tulostomaceae
diomedeidae;albatrosses
glossodia;small genus of australian orchids
family vespidae;an arthropod family of the order hymenoptera including: yellow jackets. hornets. mason wasps
antidorcas;springboks
genus anser;typical geese
genus exaeretodon;a genus of reptiles of the division cynodontia
family dracunculidae;greatly elongated roundworm
genus pomacentrus;type genus of the pomacentridae: damselfishes
genus krypterophaneron;a genus of fish in the family anomalopidae
wintergreen family;evergreen herbs of temperate regions: genera pyrola. chimaphila. moneses. orthilia
pylodictus;flathead catfishes
aleyrodes;type genus of the aleyrodidae
bairdiella;drumfish
genus caryocar;type genus of the caryocaraceae. south american trees yielding strong fine-grained wood and edible nuts
actinopoda;heliozoans. radiolarians
genus smilax;sometimes placed in smilacaceae
genus eptatretus;a genus of fossil fish of the family myxinidae
gentiana;type genus of the gentianaceae. cosmopolitan genus of herbs nearly cosmopolitan in cool temperate regions. in some classifications includes genera gentianopsis and gentianella
genus gymnorhina;in some classifications placed in the family laniidae: australian piping crows
pyrrhula;bullfinches
family apiaceae;plants having flowers in umbels: parsley. carrot. anise. caraway. celery. dill
genus dicamptodon;type genus of the dicamptodontidae
microsorium;tropical usually epiphytic ferns. africa to asia and polynesia to australia
dusicyon;crab-eating dog
genus spodoptera;moths whose larvae are armyworms
choeronycteris;a genus of phyllostomatidae
genus melopsittacus;a genus of psittacidae
platystemon;1 species: creamcups
amaryllidaceae;snowdrop. narcissus. daffodil. in some classification systems considered a subfamily of the liliaceae
genus plecotus;a genus of vespertilionidae
genus jacquinia;sometimes placed in family myrsinaceae
family elopidae;tarpons and ladyfishes
family tortricidae;leaf rollers and codling moths
caprimulgidae;goatsuckers
malvastrum;genus of mallows characterized by red and yellow flowers often placed in other genera
genus tinca;tench
family haemulidae;grunts
order pycnogonida;sea spiders
bufonidae;true toads
genus limanda;a genus of pleuronectidae
genus cotula;cosmopolitan herbs especially southern hemisphere. many used as ground covers
family rachycentridae;family of pelagic fishes containing solely the cobia
papilionaceae;leguminous plants whose flowers have butterfly-shaped corollas. commonly included in the family leguminosae
genus strix;owls lacking ear tufts
blastomyces;genus of pathogenic yeastlike fungi
subclass branchiopoda;primitive aquatic mainly freshwater crustaceans: fairy shrimps. brine shrimps. tadpole shrimps. can shrimps. water fleas
genus dimetrodon;a reptile genus of pelycosauria
eutamias;chipmunks of western america and asia
campsis radicans;a north american woody vine having pinnate leaves and large red trumpet-shaped flowers
genus australopithecus;extinct genus of african hominid
genus mimus;type genus of the family mimidae: mockingbirds
helleborus;a genus of helleborus
astragalus;large genus of annual or perennial herbs or shrubs of north temperate regions. largest genus in the family leguminosae
genus plectorrhiza;small genus of australian orchids
zingiber;tropical asiatic and polynesian perennial plants: ginger
family bramidae;deep-bodied percoid fishes of the open seas
genus luffa;dishcloth gourds
loxia;crossbill
genus brunfelsia;genus of tropical american shrubs grown for their flowers followed by fleshy berrylike fruits
genus teredo;type genus of the family teredinidae
genus polyergus;amazon ants
plant kingdom;the taxonomic kingdom comprising all living or extinct plants
sphaeralcea;large genus of chiefly tropical herbs with showy flowers and mostly globose fruits: globe mallows
chaetognatha;arrowworms: a group of small active transparent marine worms
family opisthognathidae;jawfishes
spergularia;chiefly maritimes eurasian herbs: sand spurry. sea spurry
genus heritiera;small genus of timber trees of eastern asia, australasia and tropical africa that form large buttresses
woodwardia;in some classification systems placed in family polypodiaceae: chain ferns
rhodosphaera;1 species. an australian evergreen sumac
gnathostomata;comprising all vertebrates with upper and lower jaws
triakidae;small smooth-skinned sharks lacking spines on dorsal fins
family rubiaceae;widely distributed family of mostly tropical trees and shrubs and herbs. includes coffee and chinchona and gardenia and madder and bedstraws and partridgeberry
genus mnium;mosses similar to those of genus bryum but larger
blaberus;giant cockroaches
leonotis;small genus of tropical herbs and subshrubs of south africa
genus vaccinium;evergreen or deciduous berry-bearing shrubs of northern hemisphere: cranberries. blueberries
genus heliopsis;oxeye
pelecaniformes;pelicans. frigate birds. gannets. cormorants
genus dracunculus;type genus of the family dracunculidae
malacothamnus;genus of shrubs or small trees: chaparral mallow
synaptomys;bog lemmings
order saprolegniales;order of chiefly aquatic fungi
genus asphodelus;small genus of tall striking annuals or perennials with grasslike foliage and flowers in dense racemes or panicles. mediterranean to himalayas. sometimes placed in family asphodelaceae
genus paralichthys;a genus of bothidae
genus dasyurus;type genus of the family dasyuridae: native cats
animalia;taxonomic kingdom comprising all living or extinct animals
sauropoda;any of the sauropod dinosaurs
cnidaria;hydras. polyps. jellyfishes. sea anemones. corals
genus levisticum;genus of aromatic european herbs with yellow flowers
podicipediformes;grebes
hegari;sudanese sorghums having white seeds. one variety grown in southwestern united states
podilymbus;a genus of podicipedidae
genus struthiomimus;small toothless saurischian dinosaurs. upper cretaceous of canada
genus sistrurus;pygmy rattlesnakes
genus spergula;small genus of old world annual herbs: corn spurry
lycopersicon;tomatoes
genus apodemus;old world field mice
thujopsis;one species. has close similarity to genus thuja
genus compsognathus;a reptile genus of theropoda
family xenicidae;alternative names for the family comprising the new zealand wrens
genus sansevieria;old world tropical herbaceous perennial of the agave family. in some classifications considered a genus of liliaceae
family pucciniaceae;large important family of rust fungi
parula;type genus of the parulidae: wood warblers
gymnosperm genus;a genus of gymnosperms
malvaviscus;small genus of shrubs of central and south america: wax mallows
solenichthyes;bellows fishes. shrimpfishes. cornetfishes. pipefishes. small order of chiefly tropical marine fishes of varied and bizarre form all having a small mouth at the end of a drawn-out tubular snout
hottonia;aquatic herbs
hyalosperma;genus of herbs of temperate australia including some from genus helipterum
theophrastaceae;family of mainly tropical american trees and shrubs similar to those of the myrsinaceae. often included in the myrsinaceae
genista;chiefly deciduous shrubs or small trees of mediterranean area and western asia: broom
telosporidia;parasitic sporozoans that form spores containing one or more infective sporozoites
synentognathi;order of fishes having spineless fins. needlefishes. sauries. flying fishes. halfbeaks
rhizopogon;a genus of fungi having subterranean sporophores resembling tubers
monera;prokaryotic bacteria and blue-green algae and various primitive pathogens. because of lack of consensus on how to divide the organisms into phyla informal names are used for the major divisions
hyacinthaceae;one of many families or subfamilies in which some classification systems subdivide the liliaceae but not widely accepted
carthamus;safflower
family cyclopteridae;lumpfishes
family istiophoridae;sailfishes. spearfishes. marlins
alectoris;a genus of perdicidae
genus alnus;alders
omphalotus;a genus of mushrooms with a depressed disc in the cap
division myxomycota;slime molds. organisms having a noncellular and multinucleate creeping vegetative phase and a propagative spore-producing stage: comprises myxomycetes and acrasiomycetes and plasmodiophoromycetes. in some classifications placed in the kingdom_protoctista
hog millet;extensively cultivated in europe and asia for its grain and in united states sometimes for forage
family lepiotaceae;a family of fungi having free gills and a cap that is cleanly separable from the stalk
family peripatidae;a family of onychophora
arachnida;a large class of arthropods including spiders and ticks and scorpions and daddy longlegs. have four pairs of walking legs and no wings
genus potamophis;ground snakes
genus puccinia;type genus of the pucciniaceae. a large genus of parasitic fungi including many that are destructive to various economic plants
family laricariidae;armored catfish
order chiroptera;an old order dating to early eocene: bats: suborder_megachiroptera (fruit bats). suborder_microchiroptera (insectivorous bats)
genus lepidothamnus;small usually shrubby conifers
cassiope;low tufted evergreen shrubs of colder parts of north temperate regions having mosslike foliage and nodding white or pink flowers
mountain maple;small shrubby maple of eastern north america. scarlet in autumn
leptopteris;including some ferns sometimes placed in genus todea
genus diomedea;type of the diomedeidae
volvocales;chiefly freshwater green algae. solitary or colonial
genus ambloplites;a genus of centrarchidae
acer circinatum;small maple of northwestern north america having prostrate stems that root freely and form dense thickets
jacquinia;sometimes placed in family myrsinaceae
genus saxegothea;1 species: prince albert's yew
grindelia;large genus of coarse gummy herbs of western north and central america
lemnaceae;family of small free-floating thalloid plants
gentianaceae;chiefly herbaceous plants with showy flowers. some are cultivated as ornamentals
lactobacteriaceae;lactic acid bacteria and important pathogens. bacteria that ferment carbohydrates chiefly into lactic acid
pinophytina;most conifers: in some systems classified as a class (pinopsida) and in others as a subdivision (pinophytina). used in some classifications for one of five subdivisions of gymnospermophyta
genus muntiacus;muntjacs
aedes;yellow-fever mosquitos
pristidae;large primitive rays with elongated snouts
selenipedium;genus of tall reedlike tropical american orchids. includes species with pods used locally as a substitute for vanilla
negaprion;lemon sharks
genus actitis;a genus of scolopacidae
genus mononychus;authorities disagree over whether to classify the genus as bird or dinosaur
genus parrotiopsis;1 species: deciduous tree of himalaya
borago;perennial herbs of the mediterranean region
family sarcoscyphaceae;family of fungi belonging to the order pesisales
genus elodea;submerged freshwater perennials
strepsirhini;in some classifications either coextensive with the lemuroidea or comprising the true lemurs
genus mesua;genus of tropical asiatic trees having large solitary flowers
phalaropidae;phalaropes
genus argyreia;woody climbers of tropical asia to australia
argasidae;soft ticks
genus hedysarum;genus of herbs of north temperate regions
plasmodiophoraceae;family of fungi often causing hypertrophy in seed plants
genus zigadenus;genus of mostly north american poisonous plants. sometimes placed in family melanthiaceae
genus chelydra;snapping turtles
opisthognathidae;jawfishes
ephippiorhynchus;saddlebills
order ciconiiformes;order of chiefly tropical marsh-dwelling fish-eating wading birds with long legs and bills and (except for flamingos) unwebbed feet: herons. storks. spoonbills. flamingos. ibises
genus icteria;new world chats
genus origanum;a genus of aromatic mints of the family labiatae
order eurypterida;extinct aquatic arthropods of the paleozoic
oedogoniales;simple or branched filamentous freshwater green algae
family mycobacteriacaea;a family of bacteria
genus bromus;a genus of grasses of the family gramineae
genus cercidiphyllum;1 species: katsura tree
cerastium;mouse-eared chickweed
blastodiaceae;a family of saprobic fungi of order blastocladiales
genus diceros;most common species in africa
elaeocarpaceae;genus of trees and shrubs widely distributed in warm regions some yielding useful timber. in some classifications included in the family santalaceae
genus wyethia;coarse leafy perennial plants resembling sunflowers found especially in the united states
amphioxidae;lancelets
family arcellidae;soil an freshwater protozoa. cosmopolitan
vaccinium;evergreen or deciduous berry-bearing shrubs of northern hemisphere: cranberries. blueberries
genus sphagnum;a large genus constituting the order sphagnales: atypical mosses of temperate bogs with leaves that can hold much water
genus coelogyne;large diverse genus of tropical asiatic epiphytic orchids
bombycilla;waxwings
pyrenomycetes;class of fungi in which the fruiting body is a perithecium. includes powdery mildews and ergot and neurospora
genus sonora;ground snakes
ocimum;basil
genus casuarina;genus of trees and shrubs widely naturalized in southern united states and west indies. coextensive with the family casuarinaceae and order casuarinales
genus ctenocephalides;an arthropod genus formerly called genus ctenocephalus
genus onychomys;grasshopper mice
genus genista;chiefly deciduous shrubs or small trees of mediterranean area and western asia: broom
trephritidae;fruit flies. some leafminers
family laniidae;shrikes
diceros;most common species in africa
genus botaurus;bitterns
genus pellaea;genus of chiefly small rock-loving ferns. in some classifican systems placed in family polypodiaceae or adiantaceae
hippocastanaceae;trees having showy flowers and inedible nutlike seeds in a leathery capsule
genus armoracia;horseradish
sticherus;umbrella ferns. warm regions of australia and new zealand
family meliphagidae;honey_eaters
genus carcharodon;man-eating sharks
aneides;climbing salamanders
aizoaceae;succulent herbs or small shrubs mostly of south africa but also new zealand and north america: carpetweeds. fig marigolds
zygnemataceae;pond scums: common freshwater algae forming green slimy masses
spirochaeta;type genus of the family spirochaetaceae. flexible undulating chiefly aquatic bacteria
order ustilaginales;parasitic fungi causing smuts. sometimes placed in class tiliomycetes
culex;type genus of the culicidae: widespread genus of mosquitoes distinguished by holding the body parallel to the resting surface
cyperaceae;bulrush. chufa. cotton grass. papyrus. umbrella plant
crescentia;a genus of tropical american trees of the family bignoniaceae. has a short trunk and crooked limbs and drooping branches
mycrosporidia;an order in the subclass cnidosporidia
dicentra;north american and asian herbs with divided leaves and irregular flowers
genus ariomma;a genus of stromateidae
genus chloris;tufted or perennial or annual grasses having runners: finger grass. windmill grass
genus notemigonus;golden shiners
family bombycidae;chinese silkworm moth
genus branta;wild geese
fouquieria;resinous succulent trees or shrubs of desert and semi-desert regions of southwestern united states that are leafless most of the year
pipistrellus;nearly cosmopolitan genus of very small bats
family leguminosae;a large family of trees, shrubs, vines, and herbs bearing bean pods. divided for convenience into the subfamilies caesalpiniaceae. mimosaceae. papilionaceae
pluvialis;golden plovers
genus conradina;small genus of low aromatic shrubs of southeastern united states
myxinidae;slime-producing marine animals: hagfishes
family pectinidae;scallops
family kasuwonidae;in some classifications considered a separate family comprising the oceanic bonitos
anoplura;sucking lice
pauropoda;an obscure class of minute arthropods with branched antennae and 8 to 10 pairs of legs
aepyorniformes;huge extinct flightless birds: elephant birds
genus physalis;ground cherries
family polygalaceae;trees, shrubs, and herbs widely distributed throughout both hemispheres
cryptogramma;sometimes placed in family polypodiaceae or cryptogrammataceae
lepadidae;goose barnacles
carex;large genus of plants found in damp woodlands and bogs and ditches or at water margins: sedges
genus angraecum;genus of tropical old world epiphytic orchids with showy flowers sometimes grotesque
genus styrax;deciduous or evergreen shrubs and small trees
zoarcidae;eelpouts
family eurylaimidae;coextensive with the suborder eurylaimi
suborder ornithomimida;lightly built medium-size theropods
portunus;type genus of the family portunidae
plasmodiophora;type genus of plasmodiophoracea comprising minute plant parasitic fungi similar to and sometimes included among the slime molds
sigmodon;american cotton rats
taccaceae;small family of tropical herbs
suidae;pigs. hogs. boars
genus arundo;any of several coarse tall perennial grasses of most warm areas: reeds
order rodentia;small gnawing animals: porcupines. rats. mice. squirrels. marmots. beavers. gophers. voles. hamsters. guinea pigs. agoutis
fucaceae;small family of brown algae: gulfweeds. rockweeds
genus ptilocrinus;sea lilies
radyera;very small species of shrubs of southern hemisphere: bush_hibiscus
dermestidae;carpet beetles
craspedia;herbs of australia and new zealand
numida;guinea fowl
genus alisma;small genus of aquatic or semiaquatic plants
muntiacus;muntjacs
genus petteria;1 species: dalmatian laburnum
genus pedionomus;plain wanderer
tsuga;hemlock. hemlock fir. hemlock spruce
limenitis;mainly dark northern butterflies with white wing bars
genus hunnemania;1 species: golden cup
genus ecballium;exploding cucumber. squirting cucumber
ceterach;small genus of old world ferns. superseded in some classification systems which place plants of this genus in e.g. genera asplenium and pleurosorus
genus dracula;comprises tropical american species usually placed in genus masdevallia: diminutive plants having bizarre and often sinister-looking flowers with pendulous scapes and motile lips
genus triaenodon;a genus of triakidae
phthiriidae;crab lice
leucaena;small genus of tropical evergreen trees or shrubs having pods like those of the acacia
genus charronia;a genus of mustelidae
aranea;a genus of orb-weaving spiders including common garden spiders and barn spiders
genus podiceps;type genus of the podicipedidae: grebes
dendrocolaptes;type genus of the dendrocolaptidae
genus macrozamia;genus of large evergreen australian cycads. sometimes classified in family cycadaceae
genus nomia;a genus of bee. some are important pollinators of legumes
genus pyrethrum;used in former classifications for plants later placed in genus chrysanthemum and now often included in genus tanacetum
class lycopodiate;club mosses and related forms: includes lycopodiales. isoetales. selaginellales. and extinct lepidodendrales. sometimes considered a subdivision of tracheophyta
green broom;deciduous erect spreading broom native to western europe. widely cultivated for its rich yellow flowers
genus rhynchoelaps;australian coral snakes
prinia;a genus of sylviidae
eumenes;mason wasps
