tightfistedness;extreme stinginess
silence;a refusal to speak when expected. 'his silence about my contribution was surprising'
aspect;the expression on a person's face. 'a sad expression'. 'a look of triumph'. 'an angry face'
concurrence;the temporal property of two things happening at the same time. 'the interval determining the coincidence gate is adjustable'
tincture;a quality of a given color that differs slightly from a primary color. 'after several trials he mixed the shade of pink that she wanted'
emptiness;the quality of being valueless or futile. 'he rejected the vanities of the world'
ceaselessness;the quality of something that continues without end or interruption
answerableness;responsibility to someone or for some activity
intransigence;the trait of being intransigent. stubbornly refusing to compromise
serviceableness;the quality of being able to provide good service
liberalness;the trait of being generous in behavior and temperament
grotesquery;ludicrous or incongruous unnaturalness or distortion
motherliness;the tenderness and warmth and affection of or befitting a mother: 'the girl's motherliness made her invaluable in caring for the children'
bounteousness;generosity evidenced by a willingness to give freely
littleness;the property of having a relatively small size
parity;functional equality
biliousness;a disposition to exhibit uncontrolled anger. 'his temper was well known to all his employees'
meekness;a disposition to be patient and long suffering
gutlessness;the trait of lacking courage and determination. fearful of loss or injury
tan;a light brown
adiposis;the property of excessive fatness
worthlessness;having no qualities that would render it valuable or useful. 'the drill sergeant's intent was to convince all the recruits of their worthlessness'
sinistrality;preference for using the left hand
unnaturalness;the quality of being unnatural or not based on natural principles
inaudibility;the quality of not being perceptible b.y the ear
invaluableness;the positive quality of being precious and beyond value
missionary position;a position for sexual intercourse. a man and woman lie facing each other with the man on top
puseyism;principles of the founders of the oxford movement. expounded in pamphlets called 'tracts for the times'
first water;the highest quality gems
unpleasingness;the quality of being unpleasant
variability;a quality of variability and lack of uniformity
unorthodoxy;the quality of being unorthodox
aqua;a shade of blue tinged with green
pitch black;a very dark black
pretentiousness;the quality of being pretentious (creating a false appearance of great importance or worth)
long sufferance;patient endurance of pain or unhappiness
distastefulness;extreme unpalatability
slack;the condition of being loose (not taut). 'he hadn't counted on the slackness of the rope'
inexorability;mercilessness characterized by an unwillingness to relent or let up. 'the relentlessness or their pursuit'
mauve;a moderate purple
sensitivity;the ability to respond to physical stimuli or to register small physical amounts or differences: 'a galvanometer of extreme sensitivity'
malignancy;quality of being disposed to evil. intense ill will
muteness;a refusal to speak when expected. 'his silence about my contribution was surprising'
showiness;extravagant elaborateness
value;the quality (positive or negative) that renders something desirable or valuable. 'the shakespearean shylock is of dubious value in the modern world'
panache;distinctive and stylish elegance. 'he wooed her with the confident dash of a cavalry officer'
appositeness;appropriateness. 'the phrase had considerable aptness'
capital stock;the book value of the outstanding shares of a corporation
jaundice;a sharp and bitter manner
shape;the visual appearance of something or someone. 'the delicate cast of his features'
counterfactuality;the quality of being contrary to fact
dullness;without sharpness of edge or point
eclat;ceremonial elegance and splendor. 'entered with much eclat in a coach drawn by eight white horses'
first;(great britain) an honours degree of the highest class
manner;a manner of performance. 'a manner of living'. 'in the characteristic new york style'. 'a way of life'
intelligibility;language that can be understood
tangerine;a reddish to vivid orange color
inadvertence;the trait of forgetting or ignoring your responsibilities
unusualness;uncommonness by virtue of being unusual
luminosity;the quality of being luminous. emitting or reflecting light. 'its luminosity is measured relative to that of our sun'
domineeringness;the trait of being imperious and overbearing
dowdiness;lacking stylishness or neatness
calefaction;the property of being warming
adhesion;the property of sticking together (as of glue and wood)
inanition;lack of vitality or energy
specific gravity;the density of a substance relative to the density of water
demureness;the affectation of being demure in a provocative way
format;the general appearance of a publication
deviousness;the quality of being deceitful and underhanded
mustiness;the quality of smelling or tasting old or stale or mouldy
rareness;noteworthy scarcity
strength;the property of being physically or mentally strong. 'fatigue sapped his strength'
hike;the amount a salary is increased. 'he got a raise'. 'he got a wage hike'
stuffiness;dull and pompous gravity
worthwhileness;value sufficient to repay time or effort spent
affectionateness;a quality proceeding from feelings of affection or love
buoyancy;the property of something weightless and insubstantial
steadiness;the quality of being steady--regular and unvarying
firepower;(military) the relative capacity for delivering fire on a target
bs;a bachelor's degree in science
ambidexterity;the property of being equally skillful with each hand
bleach;the whiteness that results from removing the color from something. 'a complete bleach usually requires several applications'
mutability;the quality of being capable of mutation
gelidity;coldness due to a cold environment
stigma;a skin lesion that is a diagnostic sign of some disease
paucity;an insufficient quantity or number
scorch;a discoloration caused by heat
inertial mass;(physics) the mass of a body as determined by the second law of motion from the acceleration of the body when it is subjected to a force that is not due to gravity
chastity;morality with respect to sexual relations
gold standard;a monetary standard under which the basic unit of currency is defined by a stated quantity of gold
staying power;enduring strength and energy
expedition;the property of being prompt and efficient. 'it was done with dispatch'
leanness;the property of having little body fat
bad;that which is below standard or expectations as of ethics or decency: 'take the bad with the good'
lordliness;formality in bearing and appearance: 'he behaved with great dignity'
attention;a motionless erect stance with arms at the sides and feet together. assumed by military personnel during drill or review. 'the troops stood at attention'
caliber;a degree or grade of excellence or worth: 'the quality of students has risen'. 'an executive of low caliber'
8vo;the size of a book whose pages are made by folding a sheet of paper three times to form eight leaves
shapelessness;the quality of lacking an esthetically pleasing shape
palatability;the property of being acceptable to the taste
girth;the distance around a person's body
unclearness;incomprehensibility as a result of not being clear
commonness;ordinariness as a consequence of being frequent and commonplace
disparity;inequality or difference in some respect
fittingness;the condition of being suitable. 'they had to prove their fitness for the position'
tabu;an inhibition or ban resulting from social custom or emotional aversion
bottleneck;a narrowing that reduces the flow through a channel
obscureness;the quality of being unclear or abstruse and hard to understand
beastliness;(british) unpleasant nastiness. used especially of nasty weather
navigability;suitability for the passage of a ship or aircraft
incorporeality;the quality of not being physical. not consisting of matter
fleshiness;more than average fatness
insidiousness;the quality of being designed to entrap
ds;an honorary degree in science
larcenous;having a disposition to steal
vividness;interest and variety and intensity: 'the puritan period was lacking in color'
dutifulness;piety by virtue of devotion to duty
amenity;pleasantness resulting from agreeable conditions. 'a well trained staff saw to the agreeableness of our accommodations'. 'he discovered the amenities of reading at an early age'
spiritlessness;the trait of lacking enthusiasm for or interest in things generally
indelicacy;the trait of being indelicate and offensive
gallantry;the qualities of a hero or heroine. exceptional or heroic courage when facing danger (especially in battle). 'he showed great heroism in battle'. 'he received a medal for valor'
tenuity;the quality of lacking intensity or substance. 'a shrill yet sweet tenuity of voice'- nathaniel hawthorne
intrepidity;resolute courageousness
doctor of humane letters;an honorary degree in letters
corporeality;the quality of being physical. consisting of matter
life;animation and energy in action or expression. 'it was a heavy play and the actors tried in vain to give life to it'
doubtfulness;uncertainty about the truth or factuality of existence of something. 'the dubiousness of his claim'. 'there is no question about the validity of the enterprise'
brutality;the trait of extreme cruelty
approach;the temporal property of becoming nearer in time. 'the approach of winter'
pitilessness;mercilessness characterized by a lack of pity
loving kindness;tender kindness motivated by a feeling of affection
brashness;the trait of being rash and hasty
temerity;fearless daring
ineffectuality;lacking the power to be effective
abruptness;the quality of happening with headlong haste or without warning
tallness;the vertical dimension of extension. distance from the base of something to the top
genteelness;elegance by virtue of fineness of manner and expression
comradeliness;the quality of affording easy familiarity and sociability
unprofitability;the quality of affording no gain or no benefit or no profit
instancy;the quickness of action or occurrence. 'the immediacy of their response'. 'the instancy of modern communication'
gracefulness;beautiful carriage
goodness;that which is good or valuable or useful: 'weigh the good against the bad'. 'among the highest goods of all are happiness and self-realization'
tantrism;doctrine of enlightenment as the realization of the oneness of one's self and the visible world. combines elements of hinduism and paganism including magical and mystical elements like mantras and mudras and erotic rites. especially influential in tibet
purple;a chromatic color between red and blue
specialty;a distinguishing trait
predomination;the quality of being more noticeable than anything else. 'the predomination of blues gave the painting a quiet tone'
senility;the state of being senile
cheapness;tastelessness by virtue of being cheap and vulgar
pepperiness;a hot spiciness
songfulness;the property of being suitable for singing
fleetingness;the property of lasting for a very short time
invariability;a quality of uniformity and lack of variation
enduringness;permanence by virtue of the power to resist stress or force. 'they advertised the durability of their products'
harmony;compatibility in opinion and action
hoodoo;a practitioner of voodoo
tirelessness;tireless determination
unconstraint;the trait of lacking restraint or control. freedom from inhibition or worry. 'she danced with abandon'
shit;something of little value. 'it is not worth a damn'. 'not worth shucks'
foible;an behavioral attribute that is distinctive and peculiar to an individual
meritoriousness;the quality of being deserving (e.g., deserving assistance). 'there were many children whose deservingness he recognized and rewarded'
congenialness;compatibility between persons
toilsomeness;the quality of requiring extended effort
toughness;enduring strength and energy
green thumb;a special ability to make plants grow
shapeliness;the quality of having a well-rounded body
information;(communication theory) a numerical measure of the uncertainty of an outcome. 'the signal contained thousands of bits of information'
lastingness;permanence by virtue of the power to resist stress or force. 'they advertised the durability of their products'
unfavorable position;the quality of being a competitive disadvantage
authorization;a power delegated from one person to another. 'deputies are given the power to make arrests'
international pitch;the pitch used to tune instruments for concert performances. usually assigns 440 hz to the a above middle c
harshness;the quality of being cruel and causing tension or annoyance
distrustfulness;the trait of not trusting others
finesse;subtly skillful handling of a situation
vice;moral weakness
palpability;the quality of being perceivable by touch
humour;the quality of being funny. 'i fail to see the humor in it'
choiceness;the quality of being very good indeed. 'the inn is distinguished by the fineness of its cuisine'
adhesiveness;the property of sticking together (as of glue and wood)
uneasiness;inability to rest or relax or be still
air;a distinctive but intangible quality surrounding a person or thing: 'an atmosphere of defeat pervaded the candidate's headquarters'. 'the place had an aura of romance'
hairlessness;the quality of not having hair
personal magnetism;a personal attractiveness that enables you to influence others
sharpness;a sharp bitter taste property
ebony;a very dark black
unpropitiousness;the quality of suggesting an unsuccessful result
expression;the expression on a person's face. 'a sad expression'. 'a look of triumph'. 'an angry face'
intensity;a measure of the amount of energy transmitted (as by acoustic or electromagnetic radiation). 'he adjusted the intensity of the sound'. 'they measured the station's signal strength'
esurience;extreme gluttony
readiness;a natural effortlessness. 'a happy readiness of conversation'--jane austen
simpleness;the quality of being simple or uncompounded. 'the simplicity of a crystal'
incurability;incapability of being cured or healed
unpredictability;lacking predictability
definition;clarity of outline. 'exercise had give his muscles superior definition'
uncertainty;being unsettled or in doubt: 'the uncertainty of the outcome'
superpatriotism;fanatical patriotism
suppleness;the gracefulness of a person or animal that is flexible and supple
wine colored;a red as dark as red wine
amplitude level;the level on a scale of amplitude
viscidity;the property of being cohesive and sticky
glisten;the quality of glittering or sparkling brightly
eccentricity;a circularity that has a different center or deviates from a circular path
guts;(informal) fortitude. 'he didn't have the guts to try it'
gaudiness;strident color or excessive ornamentation
mark;the impression created by doing something unusual or extraordinary that people notice and remember. 'it was in london that he made his mark'. 'he left an indelible mark on the american theater'
gamboge;a strong yellow color
hesitancy;a certain degree of unwillingness. 'a reluctance to commit himself'. 'after some hesitation he agreed'
productivity;the quality of being productive or having the power to produce
crudeness;an impolite manner that is vulgar and lacking tact or refinement. 'the whole town was famous for its crudeness'
puritanism;the beliefs and practices characteristic of puritans (most of whom were calvinists who wished to purify the church of england of its catholic aspects)
spitefulness;malevolence by virtue of being malicious or spiteful or nasty
mercilessness;inhumaneness evidenced by an unwillingness to be kind or forgiving
graciousness;excellence of manners or social conduct
purpose;the quality of being determined to do or achieve something. 'his determination showed in his every movement'. 'he is a man of purpose'
filiation;inherited properties shared with others of your bloodline
low density;a rarified quality: 'the tenuity of the upper atmosphere'
chubbiness;the property of having a plump and round body
extreme;the furthest or highest degree of something. 'he carried it to extremes'
scrawniness;the bodily property of lacking flesh
assessment;the market value set on assets
imperishingness;the property of being resistant to decay. 'he advertised the imperishability of the product'
unwariness;the trait of not being cautious and watchful
standoffishness;a disposition to be distant and unsympathetic in manner
voracity;extreme gluttony
adequacy;a quantity or number sufficient for a purpose
primness;exaggerated and arrogant properness
splendour;the quality of being magnificent or splendid or grand
deprivation;the disadvantage that results from losing something. 'his loss of credibility led to his resignation' or 'losing him is no great deprivation'
mobility;the quality of moving freely
desirability;attractiveness to the opposite sex
use;a particular service. 'he put his knowledge to good use'. 'patrons have their uses'
ocher;a moderate yellow-orange to orange color
parsimony;extreme care in spending money. reluctance to spend money unnecessarily
iron gray;the color of freshly broken cast iron
manners;social deportment. 'he has the manners of a pig'
hoarseness;a throaty harshness
irregularity;an irregular asymmetry in shape. an irregular spatial pattern
knottiness;puzzling complexity
diligence;conscientiousness in paying proper attention to a task. giving the degree of care required in a given situation
operoseness;the quality of requiring extended effort
drop;a sharp decrease in some quantity: 'a drop of 57 points on the dow jones index'. 'there was a drop in pressure in the pulmonary artery'
unselfishness;the quality of not putting yourself first but being willing to give your time or money or effort etc. for others. 'rural people show more devotion and unselfishness than do their urban cousins'
enterprise;readiness to embark on bold new ventures
silkiness;the smooth feel of silk fabric
exoticness;the quality of being exotic. 'he loved the exocitism of egypt'
toxicity;grave harmfulness or deadliness
childishness;a property characteristic of a child
precision;the quality of being precise in amount or performance. 'he handled it with the preciseness of an automaton'. 'note the meticulous precision of his measurements'
heftiness;the property of being large in mass
importance;the quality of being important and worthy of note. 'the importance of a well-balanced diet'
orange red;a variable color that is vivid red but sometimes with an orange tinge
lyricism;the property of being suitable for singing
credibleness;the quality of being believable or trustworthy
carnation;a pink or reddish-pink color
quality;"a characteristic property that defines the apparent individual nature of something. 'each town has a quality all its own'. 'the radical character of our demands'"
solitude;a disposition toward being alone
variance;a difference between conflicting facts or claims or opinions. 'a growing divergence of opinion'
obeah;a religious belief of african origin involving witchcraft and sorcery. practiced in parts of the west indies and tropical americas
associate in applied science;an associate degree in applied science
account;the quality of taking advantage. 'she turned her writing skills to good account'
unalterability;the quality of being fixed and unchangeable. 'the fixedness of his gaze upset her'
coral;a variable color averaging a deep pink
hot stuff;(informal) the quality of being attractive and exciting (especially sexually exciting). 'he thought she was really hot stuff'
developmental age;a measure of a child's development (in body size or motor skill or psychological function) expressed in terms of age norms
hydrogen ion concentration;the number of moles of hydrogen ions per cubic decimeter
rose;a dusty pink color
incalescence;the property of being warming
futurity;the quality of being in or of the future
ivory;a shade of white the color of bleached bones
calvinism;the theological system of john calvin and his followers emphasizing omnipotence of god and salvation by grace alone
reach;an area in which something acts or operates or has power or control: 'the range of a supersonic jet'. 'the ambit of municipal legislation'. 'within the compass of this article'. within the scope of an investigation'. 'outside the reach of the law'. 'in the political orbit of a world power'
level best;the greatestest possible degree. 'he tried his utmost'
asana;(hindu) a manner of sitting (as in the practice of yoga)
cohesiveness;the property of being cohesive and sticky
acridness;extreme bitterness: 'the acridity of alkali'
aura;an indication of radiant light drawn around the head of a saint
glister;the quality of glittering or sparkling brightly
equivalence;essential equality and interchangeability
signature;a distinguishing style. 'this room needs a woman's touch'
alchemy;a power like that claimed by alchemists: 'a mysterious alchemy brought the musician and the music to ultimate fusion'
dds;a doctor's degree in dental surgery
snuff colour;dark yellowish brown
pluckiness;the trait of showing courage and determination in spite of possible loss or injury
perimeter;the size of something as given by the distance around it
properness;correct or appropriate behavior
thirst;strong desire for something (not food or drink): 'a thirst for knowledge'. 'hunger for affection'
visual aspect;outward or visible aspect of a person or thing
impenitency;the trait of refusing to repent
bachelor of science in architecture;a bachelor's degree in architecture
real mccoy;informal usage attributing authenticity
erectness;the property of being upright in posture
overgrowth;a profusion of growth on or over something else
effulgence;the quality of being bright and sending out rays of light
frankness;the trait of being blunt and outspoken
oil stain;a stain produced by oil
unpointedness;the property of having only a dull point if any
bookishness;exaggerated studiousness
shortness;an abrupt discourteous manner
sweetness;a pleasingly sweet olfactory property
ph;p(otential of) h(ydrogen). the logarithm of the reciprocal of hydrogen-ion concentration in gram atoms per liter. used as a measure of the acidity or alkalinity of a solution on a scale of 0-14 (where 7 is neutral)
blood heat;normal body temperature. 98.6f or 37 c
ms;a master's degree in science
academism;orthodoxy of a scholastic variety
relative density;the ratio of the density of something to the density of a standard
loveliness;the quality of being good looking and attractive
new moon;the time at which the moon appears as a narrow waxing crescent
religious cult;a system of religious beliefs and rituals
quaintness;the quality of being quaint and old-fshioned. 'she liked the old cottage. its quaintness was appealing'
marriageability;eligibility for marriage
skip distance;the shortest distance that permits radio signals (of a given frequency) to travel from the transmitter to the receiver by reflection from the ionosphere
likeness;similarity in appearance or character or nature between persons or things: 'man created god in his own likeness'
nonconformity;unorthodoxy as a consequence of not conforming to expected standards or values
negativism;characterized by habitual skepticism and a tendency to deny or oppose or resist suggestions or commands
refulgence;the quality of being bright and sending out rays of light
ampleness;the property of impressive largeness in size. 'he admired the ampleness of its proportions'
narcissism;an exceptional interest in and admiration for yourself
inconsistency;the quality of being inconsistent and lacking a harmonious uniformity among things or parts
precaution;the trait of practicing caution in advance
ring;a characteristic sound. 'it has the ring of sincerity'
discourtesy;a manner that is rude and insulting
trait;"a distinguishing feature of one's personal nature"
indispensableness;the quality possessed by something that you cannot possibly do without
slipperiness;the quality of being a slippery rascal
sprawling;an ungainly posture with arms and legs spread about
par value;the value of a security that is set by the company issuing it. unrelated to market value
cytoarchitecture;the cellular composition of a bodily structure
bachelor of science in engineering;a bachelor's degree in engineering
uniformity;a condition in which everything is regular and unvarying
daredevilry;boldness as manifested in rash and daredevil behavior
vigor;an imaginative lively style (especially style of writing). 'his writing conveys great energy'
asymmetry;(mathematics) a lack of symmetry
slightness;the quality of being unimportant and petty or frivolous
noise level;the amplitude level of the undesired background noise
islamism;the monotheistic religion of muslims based on the koran
ostentation;lack of elegance as a consequence of pomposity
low quality;an inferior quality
noble mindedness;elevated ideals or conduct. the quality of believing that ideals should be pursued
overweight;the property of excessive fatness
listlessness;inactivity resulting from torpidity and lack of vigor or energy
one dimensionality;the property of having one dimension
poorness;the quality of being poorly made or maintained. 'she was unrecognizable because of the poorness of the photography'
achromia;(medical) an absence of normal pigmentation especially in the skin (as in albinism) or in red blood cells
wastefulness;the trait of wasting resources. 'a life characterized by thriftlessness and waste'. 'the wastefulness of missed opportunities'
acreage;an area of ground used for some particular purpose (such as building or farming). 'he wanted some acreage to build on'
high quality;the quality of being superior
legitimacy;lawfulness by virtue of being authorized or in accordance with law
gap;a conspicuous disparity or difference as between two figures: 'gap between income and outgo'. 'the spread between lending and borrowing costs'
fabric;the underlying structure. 'restoring the framework of the bombed building'. 'it is part of the fabric of society'
standard;the value behind the money in a monetary system
unboundedness;the quality of being infinite. without bound or limit
insentience;lacking consciousness or ability to perceive sensations
privilege;a special advantage or immunity or benefit not enjoyed by all
fourth dimension;the fourth coordinate that is required (along with three spatial dimensions) to specify a physical event
disquiet;the trait of seeming ill at ease
payne s gray;any pigment that produces a grayish to dark grayish blue
timorousness;fearfulness in venturing into new and unknown places or activities
ellipticity;the property possessed by a rounded shape that is flattened at the poles. 'the oblateness of the planet'
genetic constitution;the particular alleles at specified loci present in an organism
unexchangeability;the quality of being incapable of exchange or interchange
ruthlessness;mercilessness characterized by a lack of pity
harshness;harsh or rough to the ear
wholeheartedness;undivided commitment or unreserved enthusiasm
tinker s dam;something of little value. 'it is not worth a damn'. 'not worth shucks'
glint;a momentary brightness
thievishness;having a disposition to steal
stance;standing posture
cardinal;a variable color averaging a vivid red
torridity;extreme heat
vantage;the quality of having a superior or more favorable position. 'he experience gave him the advantage over me'
total heat;the sum of the internal energy of a system and the product of its volume and pressure
deadness;the physical property of something that has lost its elasticity. 'he objected to the deadness of the tennis balls'
musicality;the property of sounding like music
spunk;the courage to carry on: 'he kept fighting on pure spunk'. 'you haven't got the heart for baseball'
orthogonality;the quality of lying or intersecting at right angles
innocence;the quality of innocent naivete
shortfall;the property of being an amount by which something is less than expected or required
erroneousness;inadvertent incorrectness
regularity;the quality of being characterized by a fixed principle or rate. 'he was famous for the regularity of his habits'
impressiveness;splendid or imposing in size or appearance. 'the grandness of the architecture'
numerousness;a large number
heaviness;the property of being comparatively great in weight. 'the heaviness of lead'
promptness;the quality or habit of adhering to an appointed time
rationality;the quality of being consistent with or based on logic
dispassionateness;objectivity and detachment
dph;a doctor's degree in preventive medicine
promise;grounds for feeling hopeful about the future. 'there is little or no promise that he will recover'
mildness;mercifulness as a consequence of being lenient or tolerant
consistency;a harmonious uniformity or agreement among things or parts
mental age;the level of intellectual development as measured by an intelligence test
reprehensibility;being reprehensible. worthy of and deserving reprehension or reproof
orange;any of a range of colors between red and yellow
illegality;unlawfulness by virtue of violating some legal statute
forthrightness;the quality of being honest and straightforward in attitude and speech
voice;the ability to speak. 'he lost his voice'
adiposity;having the property of containing fat. 'he recommended exercise to reduce my adiposity'
immateriality;the quality of not being physical. not consisting of matter
saccharinity;the sweetness of saccharin
musd;a doctor's degree in music
laterality;superior development of one side of the body
poorness;the quality of being meager. 'an exiguity of cloth that would only allow of miniature capes'-george eliot
reverberance;having the character of a loud deep sound
incorrectness;the quality of not conforming to fact or truth
logicalness;correct and valid reasoning
strength;a measure of the amount of energy transmitted (as by acoustic or electromagnetic radiation). 'he adjusted the intensity of the sound'. 'they measured the station's signal strength'
efficaciousness;capacity or power to produce a desired effect
accessibility;the attribute of being easy to meet or deal with
magnificence;splendid or imposing in size or appearance. 'the grandness of the architecture'
sense of humour;the trait of appreciating (and being able to express) the humorous. 'she didn't appreciate my humor.' 'you can't survive in the army without a sense of humor'
immovableness;no capable of being moved or rearranged
mulishness;the trait of being difficult to handle or overcome
advisability;the quality of being advisable. 'they questioned the advisability of our policy'
rightness;appropriate conduct. doing the right thing
felicity;pleasing and appropriate manner or style esp of expression
stoutness;the property of being strong and resolute
manipulability;the quality of being controllable by skilled movements of the hands
plantar wart;a wart occurring on the sole of the foot. 'pressure causes plantar warts to develop a painful callus around the soft center'
crossness;a disposition to be ill tempered
romanism;the beliefs and practices of the catholic church based in rome
bloodthirstiness;cruelty evidence by a capability to commit murder
orange yellow;a shade of yellow tinged with orange
resilience;the physical property of a material that can return to its original shape or position after deformation
solidarity;a union of interests or purposes or sympathies among members of a group
uniqueness;the quality of being one of a kind. 'that singularity distinguished him from all his companions'
solarization;exposure to the rays of the sun
inaccessibility;the quality of not being unavailable when needed
mals;a master's degree in library science
unlikelihood;the improbability of a specified outcome
lusterlessness;the property of having little or no contrast
otherness;the quality of being not alike. being distinct or different from that otherwise experienced or known
help;a resource: 'visual aids in teaching'. 'economic assistance to depressed areas'
concentricity;the quality of having the same center (as circles inside one another)
musicalness;the property of sounding like music
verruca acuminata;a small benign wart on or around the genitals and anus
pretense;a false or unsupportable quality
jejuneness;quality of lacking nutritive value
justice;the quality of being just or fair
constriction;a narrowing that reduces the flow through a channel
innumerableness;a number beyond counting
unevenness;the quality of being unbalanced
beige;a very light brown
thb;a bachelor's degree in theology
readability;writing (print or handwriting) that can be easily read
intensiveness;high level or degree. the property of being intense
lightness;the property of being comparatively small in weight. 'the lightness of balsa wood'
granularity;the quality of being composed of relatively large particles
permissiveness;a disposition to allow freedom of choice and behavior
evenness;a quality of uniformity and lack of variation
pusillanimity;contemptible fearfulness
harshness;the roughness of a substance that causes abrasions
invisibility;the quality of not being perceivable by the eye
affability;a disposition to be friendly and approachable (easy to talk to)
morbidness;the quality of being unhealthful and generally bad for you
furiousness;the property of being wild or turbulent. 'the storm's violence'
recalcitrance;the trait of being unmanageable
worthlessness;the quality of being without practical use
sweep;a wide scope. 'the sweep of the plains'
brahmanism;the religious beliefs of ancient india as prescribed in the sacred vedas and brahmanas and upanishads
co occurrence;the temporal property of two things happening at the same time. 'the interval determining the coincidence gate is adjustable'
nonchalance;the trait of remaining calm and seeming not to care. a casual lack of concern
temperament;your usual mood. 'he has a happy disposition'
pride;the trait of being spurred on by a dislike of falling below your standards
pliability;the property of being easily bent without breaking
forcefulness;physical energy or intensity: 'he hit with all the force he could muster'. 'it was destroyed by the strength of the gale'. 'a government has not the vitality and forcefulness of a living man'
malevolency;the quality of threatening evil
bilateral symmetry;the property of being symmetrical about a vertical plane
sound judgment;the capacity to assess situations or circumstances shrewdly and to draw sound conclusions
homogeny;(biology) similarity because of common evolution
mindfulness;the trait of staying aware of (paying close attention to) your responsibilities
eastern catholicism;the beliefs and practices of any of the eastern catholic churches based in constantinople
parseeism;zoroastrian sect in india
consonance;the property of sounding harmonious
slatternliness;in the manner of a slattern
parallel;something having the property of being analogous to something else
nasal twang;exaggerated nasality in speech (as in some regional dialects)
splendour;a quality that outshines the usual
easiness;freedom from difficulty or hardship or effort: 'he rose through the ranks with apparent ease'. 'they put it into containers for ease of transportation'
contentiousness;a disposition to fight
commutability;the quality of being commutable
unpopularity;the quality of lacking general approval or acceptance
rashness;the trait of giving little thought to danger
resourcefulness;the quality of being able to cope with a difficult situation: 'a man of great resourcefulness'
highness;the condition of being high or lofty
combativeness;a militant aggressiveness
nationalism;love of country and willingness to sacrifice for it
bargain rate;a price below the standard price
deformity;an appearance that has been spoiled or is misshapen
complaisance;a disposition or tendency to yield to the will of others
fondness;a quality proceeding from feelings of affection or love
ostentatiousness;lack of elegance as a consequence of pomposity
resiliency;the physical property of a material that can return to its original shape or position after deformation
unworthiness;the quality of being bad by virtue of lacking merit or value
humor;the trait of appreciating (and being able to express) the humorous. 'she didn't appreciate my humor.' 'you can't survive in the army without a sense of humor'
spirit;animation and energy in action or expression. 'it was a heavy play and the actors tried in vain to give life to it'
tackiness;tastelessness by virtue of being cheap and vulgar
refractivity;the physical property of a medium as determined by its index of refraction
paltriness;worthlessness due to insignificance
limpidity;passing light without diffusion or distortion
deflection;the property of being bent or deflected
polish;the property of being smooth and shiny
cumbersomeness;trouble in carrying or managing caused by bulk or shape: 'the movers cursed the unwieldiness of the big piano'
inanity;total lack of meaning or ideas
jejunity;quality of lacking nutritive value
makeup;the way in which someone or something is composed
pigheadedness;resolute adherence to your own ideas or desires
high pitch;a pitch that is perceived as above other pitches
saltiness;the property of containing salt (as a compound or in solution)
credulousness;tendency to believe too readily and therefore to be easily deceived
inopportuneness;the quality of occurring at an inconvenient time
bottle green;dark to moderate or grayish green
equivocation;intentionally vague or ambiguous
sprawl;an ungainly posture with arms and legs spread about
bachelor of divinity;a bachelor's degree in religion
considerateness;kind and considerate regard for others. 'he showed no consideration for her feelings'
undutifulness;impiety characterized by lack of devotion to duty
steel gray;slightly purplish or bluish dark gray
statesmanship;wisdom in the management of public affairs
temper;the elasticity and hardness of a metal object. its ability to absorb considerable energy before cracking
uncommunicativeness;the trait of being uncommunicative
variability;the quality of being subject to variation
symmetricalness;(mathematics) an attribute of a shape. exact correspondence of form on opposite sides of a dividing line or plane
lambency;an appearance of reflected light
dishonourableness;the quality of not deserving honor or respect
binding;the capacity to attract and hold something
naiveness;lack of sophistication or worldliness
incongruousness;the quality of disagreeing. being unsuitable and inappropriate
slimness;the property of an attractively thin person
sprightliness;animation and energy in action or expression. 'it was a heavy play and the actors tried in vain to give life to it'
malevolence;the quality of threatening evil
tax hike;the amount by which taxes are increased. 'a tax increase of 15 percent'
tenor;the pitch range of the highest male voice
definiteness;the quality of being predictable with great confidence
camaraderie;spirit of friendly familiarity and goodwill between comrades
softness;a sound property that is free from loudness or stridency
milliequivalent;one-thousandth of an equivalent
body odour;malodourousness resulting from a failure to bathe
grossness;the quality of lacking taste and refinement
peacock blue;a shade of blue tinged with green
glow;light from nonthermal sources
hallmark;a distinctive characteristic or attribute
master of architecture;a degree granted for the successful completion of advanced study of architecture
shortness;the property of being of short temporal extent
turbidness;muddiness created by stirring up sediment or having foreign particles suspended
tenability;the quality of being plausible or acceptable to a reasonable person. 'he questioned the tenability of my claims'
bouquet;a pleasingly sweet olfactory property
differentia;a distinguishing characteristic esp in different species of a genus
wisdom;the trait of utilizing knowledge and experience with common sense and insight
limitation;the quality of being limited or restricted. 'it is a good plan but it has serious limitations'
illumination;the luminous flux incident on a unit area
delectability;extreme appetizingness
unreliableness;the trait of not being dependable or reliable
subtlety;the quality of being difficult to detect or analyze. 'you had to admire the subtlety of the distinctions he drew'
infiniteness;the quality of being infinite. without bound or limit
betrayal;the quality of aiding an enemy
temporariness;the property of lasting only a short time
angularity;the property possessed by a shape that has angles
deliberateness;the trait of thoughtfulness in action or decision. 'he was a man of judicial deliberation'
multifariousness;noticeable heterogeneity. 'a diversity of possibilities'. 'the range and variety of his work is amazing'
superficiality;lack of depth of knowledge or thought or feeling
plenty;a full supply. 'there was plenty of food for everyone'
burnt umber;a medium to dark brown color
clannishness;tendency to associate with only a select group
