alum;a white crystalline double sulfate of aluminum: the ammonium double sulfate of aluminum
nitrogen oxide;any of several oxides of nitrogen formed by the action of nitric acid on oxidizable materials
champagne cup;a punch containing a sparkling wine
lunar caustic;silver nitrate fused into sticks and formerly used as a caustic
chemical element;"any of the more than 100 known substances (of which 93 occur naturally) that cannot be separated into simpler substances and that singly or in combination constitute all matter"
muscadel;wine from muscat grapes
cassava starch;a starch made by leaching and drying the root of the cassava plant. the source of tapioca. a staple food in the tropics
perry;a fermented and often effervescent beverage made from juice of pears. similar in taste to hard cider
lawrencium;a radioactive transuranic element synthesized from californium
sauternes;semisweet golden-colored table or dessert wine from around bordeaux in france. similar wine from california
constantan;a copper-nickel alloy with high electrical resistance and a low temperature coefficient. used as resistance wire
fluorocarbon;a halocarbon in which some hydrogen atoms have been replaced by fluorine. used in refrigerators and aerosols
dextrose;an isomer of glucose that is found in honey and sweet fruits
ptomain;any of various amines (such as putrescine or cadaverine) formed by the action of putrefactive bacteria
methylene blue;a dark green dye used as a stain, an antiseptic, a chemical indicator, and an antidote in cyanide poisoning
nickel base alloy;an alloy whose main constituent is nickel
fluid;"a substance that is fluid at room temperature and pressure"
phospholipid;any of various comounds composed of fatty acids and phosphoric acid and a nitrogenous base. an important constituent of membranes
mg;a light silver-white ductile bivalent metallic element. in pure form it burns with brilliant white flame. occurs naturally only in combination (as in magnesite and dolomite and carnallite and spinel and olivine)
decaffeinated coffee;coffee with the caffeine removed
orthophosphorous acid;a clear or yellow-colored monobasic acid (h3po2)
atomic number;a radioactive transuranic element which has been synthesized
atomic number;a radioactive transuranic element produced by bombarding plutonium with neutrons
red bordeaux;dry red bordeaux or bordeaux-like wine
zinc vitriol;a colorless water-soluble powder. used as a mordant or to preserve wood or for the electrodeposition of zinc
oxide;any compound of oxygen with another element or a radical
protein;any of a large group of nitrogenous organic compounds that are essential constituents of living cells. consist of long strings of amino acids
shelf ice;ice that is attached to land but projects out to sea
monoamine;a molecule containing one amine group (especially one that is a neurotransmitter)
oxyacid;any acid that contains oxygen
chokedamp;the atmosphere in a mine following an explosion. high in carbon dioxide and incapable of supporting life
cola;carbonated drink flavored with extract from kola nuts ('dope' is a southernism in the united states)
oxalacetic acid;an acid formed by oxidation of maleic acid (as in metabolism of fats and carbohydrates)
nitric oxide;a poisonous red-brown gas (no)
anisette;liquorice-flavored usually colorless sweet liqueur made from aniseed
atomic number;a yellow trivalent metallic element of the rare earth group. occurs in monazite and bastnasite in association with cerium and lanthanum and praseodymium
incense;a substance that produces a fragrant odor when burned
atomic number;a trivalent metallic element of the rare earth group. usually occurs in association with yttrium
grog;rum cut with water
balsam;any of various fragrant oleoresins used in medicines and perfumes
hydrobromic acid;an aqueous solution of hydrogen bromide that is a strong liquid acid
atomic number;a radioactive element of the alkali-metal group discovered as a disintegration product of actinium
h2o;a clear colorless odorless tasteless liquid. 'he asked for a drink of water'
ghedda wax;wax from indian and african bees
invert sugar;a mixture of glucose and fructose found in fruits. sweeter than glucose
cuppa;(british) a cup of tea
calcium carbide;a gray salt of calcium used in making acetylene
argon;a colorless and odorless inert gas. one of the six inert gases. comprises approximately 1% of the earth's atmosphere
hydrogen cyanide;a weak poisonous acid (hcn) used in fumigating and in synthesis of organic compounds
candelilla wax;a hard brown wax that occurs as a coating on candelilla shrubs
actinium;a radioactive element of the actinide series. found in uranium ores
borate;a salt or ester of boric acid
carbon tet;a colorless nonflammable liquid used as a solvent for fats and oils. because of its toxicity its use as a cleaning fluid or fire extinguisher has declined
myrrh;aromatic resin burned as incense and used in perfume
sake;japanese beverage from fermented rice usually served hot
tobin bronze;alpha-beta brass containing tin. resistant to sea water. admiralty metal is a trademark
ice;"the frozen part of a body of water"
tungstic acid;an oxyacid of tungsten (often polymeric in nature) formed by neutralizing alkaline tungstate solutions
glycerol tristearate;a triglyceride of stearic acid
irish coffee;sweetened coffee with irish whiskey and whipped cream
gamma acid;a crystalline acid used to make azo dyes
chelate compound;a heterocyclic compound having a metal ion attached by coordinate bonds to at least two nonmetal ions
raw milk;unpasteurized milk
antimonial lead;a lead alloy that contains about 5% antimony
wolfram steel;a very hard heat-resistant steel containing tungsten
hypochlorous acid;a weak unstable acid known only in solution and in its salts. used as a bleaching agent and as an oxidizing agent
chicory;root of the chicory plant roasted and ground to substitute for or adulterate coffee
milk;a white nutritious liquid secreted by mammals and used as food by human beings
isocyanate;a salt or ester of isocyanic acid
arginine;a bitter tasting amino acid found in proteins and necessary for nutrition. its absence from the diet leads to a reduced production of spermatozoa
substance;"the stuff of which an object consists"
potable;any liquid suitable for drinking: 'may i take your beverage order?'
mustard gas;a toxic war gas that raises blisters and attacks the eyes and lungs
atomic number;a nonmetallic bivalent element that is normally a colorless odorless tasteless nonflammable diatomic gas. constitutes 28 percent of the atmosphere by volume. the most abundant element in the earth's crust
adrenaline;a hormone secreted by the adrenal medulla in response to stress (trade name adrenalin). stimulates autonomic nerve action
iodic acid;a soluble crystalline acid. used as a reagent and disinfectant
walnut oil;oil from walnuts
pu;a radioactive transuranic element that is similar to uranium. found in minute quantities in uranium ores but is usually synthesized in nuclear reactors. 13 isotopes are known with the most important being plutonium 239
barium hydroxide;white poisonous crystals. made by dissolving barium oxide in water
bichloride of mercury;a white poisonous soluble crystalline sublimate of mercury. used as a pesticide or antiseptic or wood preservative
hydroxybenzoic acid;a crystalline derivative of benzoic acid
gallium;a rare silvery (usually trivalent) metallic element. brittle at low temperatures but liquid above room temperature. occurs in trace amounts in bauxite and zinc ores
white burgundy;dry white table wine of chablis france or resembling that wine
tungsten steel;a very hard heat-resistant steel containing tungsten
furfuran;a colorless toxic flammable liquid used in the synthesis of nylon
sulphonic acid;n acid derived from sulphuric acid
gadolinium;a ductile silvery-white ductile ferromagnetic trivalent metallic element of the rare earth group
ricinoleic acid;an oily fatty acid found in castor oil and used in soap
native sulfur;an old name for sulfur
alpha beta brass;a brass that has more zinc and is stronger than alpha brass. used in making castings and hot-worked products
weiss beer;very effervescent light-colored beer
tartar emetic;a poisonous colorless salt used as a mordant and in medicine
ga;a rare silvery (usually trivalent) metallic element. brittle at low temperatures but liquid above room temperature. occurs in trace amounts in bauxite and zinc ores
atomic number;a transuranic element that has not been found in nature
alloy;a mixture of two or more metals or of metallic and nonmetallic elements usually fused together or dissolving into each other when molten
allomorph;any of several different crystalline forms of the same chemical compound: 'calcium carbonate occurs in the allomorphs calcite and aragonite'
dimer;a compound whose molecules are composed of two identical monomers
polyester;a complex ester used for making fibers or resins or plastics or as a plasticizer
atomic number;a rare heavy polyvalent metallic element that resembles manganese chemically and is used in some alloys. is obtained as a by-product in refining molybdenum
napalm;gasoline jelled with aluminum soaps. highly incendiary liquid used in fire bombs and flame throwers
conjugated protein;a protein complex combining amino acids with other substances
pine tar;a dark viscous substance obtained from the destructive distillation of pine wood
rutherfordium;a radioactive transuranic element which has been synthesized
sterling silver;a silver alloy with no more than 7.5% copper
atomic number;a bluish-white lustrous metallic element. brittle at ordinary temperatures but malleable when heated. used in a wide variety of alloys and in galvanizing iron. it occurs as zinc sulphide in zinc blende
sweet birch oil;a liquid ester with a strong odor of wintergreen. applied externally for minor muscle and joint pain
sweet almond oil;pale yellow fatty oil expressed from sweet or bitter almonds
ferricyanic acid;(h3fe(cn)6), a brown unstable acid formed from ferricyanide
rob roy;made with scotch whiskey
ethyne;a colorless flammable gas used chiefly in welding and in organic synthesis
irish whisky;made in ireland chiefly from barley
plonk;(british and australian) a cheap wine of inferior quality
carbon dioxide;a heavy odorless colorless gas formed during respiration and by the decomposition of organic substances. absorbed from the air by plants in photosynthesis
cohune fat;semisolid fat from nuts of the cohune palm. used in cooking and soap making
mineral water;water naturally or artificially impregnated with mineral salts or gasses. often effervescent. often used therapeutically
white metal;an alloy, often of lead or tin base, used for bearings
rna;a nucleic acid that transmits genetic information from dna to the cytoplasm. controls certain chemical processes in the cell
eau de vie;strong coarse brandy
mucic acid;a solid acid (c6h10o8) found in milk or sugar
white vitriol;a colorless water-soluble powder. used as a mordant or to preserve wood or for the electrodeposition of zinc
attar;essential oil or perfume obtained from flowers
benedictine;a french liqueur originally made by benedictine monks
rochelle salt;a double salt used in seidlitz powder. acts as a cathartic
bubbly;a white sparkling wine either produced in champagne or resembling that produced there
irish;made in ireland chiefly from barley
bitter almond oil;pale yellow essential oil obtained from bitter almonds by distillation from almond cake or meal
tellurium;a brittle silver-white metalloid element that is related to selenium and sulfur. it is used in alloys and as a semiconductor. occurs mainly as tellurides in ores of copper and nickel and silver and gold
gin rickey;a rickey made with gin
tombak;an alloy of copper and zinc (and sometimes arsenic) used to imitate gold in cheap jewelry and for gilding
nobelium;a radioactive transuranic element synthesized by bombarding curium with carbon ions. 7 isotopes are known
fixing agent;a compound that sets of fixes something
high strength brass;a brass with from 1-4% manganese to harden it
saki;japanese beverage from fermented rice usually served hot
propionaldehyde;a colorless liquid aldehyde
perchloromethane;a colorless nonflammable liquid used as a solvent for fats and oils. because of its toxicity its use as a cleaning fluid or fire extinguisher has declined
gum anime;any of various resins or oleoresins
atomic number;a hard brittle blue-white multivalent metallic element. resistant to corrosion and tarnishing
aqua vitae;strong distilled liquor or brandy
peat bog;wet spongy ground of decomposing vegetation. has poorer drainage than a swamp. soil is unfit for cultivation but can be cut and dried and used for fuel
zinc oxide;oxide of zinc. a white powder used as a pigment or in cosmetics or glass or inks and in zinc ointment
actin;one of the proteins into which actomyosin can be split. can exist in either a globular or a fibrous form
cfc;a fluorocarbon with chlorine. formerly used as a refrigerant and as a propellant in aerosol cans. 'cfcs cause depletion of atmospheric ozone'
inconel;(trademark) an nickel-base alloy with chromium and iron. used in gas-turbine blades
monobasic acid;an acid containing only one replaceable hydrogen atom per molecule
cartridge brass;a copper-zinc alloy (containing about 30% zinc) that is wrought into cartridges or tubing
drift ice;masses of ice floating in the open sea
brandy;distilled from wine or fermented fruit juice
uranyl oxalate;a salt obtained by the reaction of uranium salts with oxalic acid
corn whisky;distilled from a mash of not less than 80 percent corn
arsenic;a white powdered poisonous trioxide of arsenic. used in manufacturing glass and as a pesticide and weed killer
homogenized milk;milk with the fat particles broken up and dispersed uniformly so the cream will not rise
turps;volatile liquid distilled from turpentine oleoresin. used as paint thinner and solvent and medicinally
acaroid resin;an alcohol-soluble resin from australian trees. used in varnishes and in manufacturing paper
mono iodotyrosine;tyrosine with one iodine atom added
schnaps;any of various strong liquors especially a dutch spirit distilled from potatoes
dark beer;dark-colored heavy-bodied beers usually imported from germany or holland or scandinavia
trinitroglycerin;a heavy yellow poisonous oily explosive liquid obtained by nitrating glycerol. used in making explosives and medically as a vasodilator
enkephalin;an endorphin having opiate qualities
burgundy;table wine from the burgundy region of france or any burgundy-type wine made elsewhere
red lead;a reddish oxide of lead (pb3o4) used as a pigment in paints and in glass and ceramics
methanal;a colorless poisonous gas. made by the oxidation of methanol
butyrin;any of three glycerides of butyric acid
sazerac;bourbon with bitters and pernod and sugar served with lemon peel
phosphorus;a multivalent nonmetallic element of the nitrogen family that occurs commonly in inorganic phosphate rocks and as organic phosphates in all living cells. is highly reactive and occurs in several allotropic forms
bile salt;a salt of bile acid and a base. functions as an emulsifier of lipids and fatty acids
ale;fermented alcoholic beverage similar to but heavier than beer
drill rod;carbon steel used for rock drills and dowels
benjamin;gum resin used especially in treating skin irritation
marshland;low-lying wet land with grassy vegetation. usually is a transition zone between land and water
almond oil;pale yellow fatty oil expressed from sweet or bitter almonds
hydrogen peroxide;a viscous liquid with strong oxidizing properties. a powerful bleaching agent. also used as a disinfectant and (in strong concentrations) as an oxidant in rocket fuels
actomyosin;a protein complex in muscle fibers. composed of myosin and actin. shortens when stimulated and causes muscle contractions
sm;a gray lustrous metallic element of the rare earth group. is used in special alloys. occurs in monazite and bastnasite
water gas;a mixture of hydrogen and carbon monoxide with small amounts of other gases. made by blowing steam over hot coke or coal
pinot noir;dry red california table wine made from purple pinot grapes
clove oil;essential oil obtained from cloves and used to flavor medicines
atomic number;a hard ferromagnetic silver-white bivalent or trivalent metallic element. a trace element in plant and animal nutrition
scotch whiskey;whiskey distilled in scotland. especially whiskey made from malted barley in a pot still
quaternary ammonium compound;a compound derived from ammonium with hydrogen atoms replaced by organic groups. used as surface-active agents, disinfectants, and in drugs
expressed almond oil;pale yellow fatty oil expressed from sweet or bitter almonds
arsenous anhydride;a white powdered poisonous trioxide of arsenic. used in manufacturing glass and as a pesticide and weed killer
olein;a naturally occuring glyceride of oleic acid that is found in fats and oils
silicon carbide;an extremely hard blue-black crystalline compound (sic) used as an abrasive and a heat refractory material. crystals of silicon carbide can be used as semiconductors
paris green;a toxic double salt of copper arsenate and copper acetate
silicon dioxide;a white or colorless vitreous insoluble solid. various forms occur widely in the earth's crust as quartz or cristobalite or tridymite or lechartelierite
blue stone;hydrated blue crystalline form of copper sulfate
sodium sulphate;a bitter salt used in detergents
francium;a radioactive element of the alkali-metal group discovered as a disintegration product of actinium
kurchatovium;a radioactive transuranic element which has been synthesized
vin ordinaire;cheap french table wine of unspecified origin
polyunsaturated fat;a class of fats having long carbon chains with many double bonds unsaturated with hydrogen atoms. used in some margarines. supposedly associated with low blood cholesterol
hydrazoic acid;a colorless explosive liquid that is volatile and poisonous and foul-smelling
hydrolith;a salt-like compound (cah2) used as a reducing agent and source of hydrogen
toddy;liquor and water with sugar and spices and served hot
cyanide;an extremely poisonous salt of hydrocyanic acid
ammonia water;a water solution of ammonia
rotgut;any alcoholic beverage of inferior quality
calcium sulphate;a white salt (caso4)
silver iodide;an iodide that is used in photography, in seeding clouds to make rain, and in medicine
p;a multivalent nonmetallic element of the nitrogen family that occurs commonly in inorganic phosphate rocks and as organic phosphates in all living cells. is highly reactive and occurs in several allotropic forms
sebacic acid;a dicarboxylic acid used to make resins
malmsey;sweet madeira wine
ethylene glycol;a sweet but poisonous syrupy liquid used as an antifreeze and solvent
mercury chloride;a white poisonous soluble crystalline sublimate of mercury. used as a pesticide or antiseptic or wood preservative
salt;a compound formed by replacing hydrogen in an acid by a metal (or a radical that acts like a metal)
blackdamp;the atmosphere in a mine following an explosion. high in carbon dioxide and incapable of supporting life
furfural;a liquid aldehyde with a penetrating odor. made from plant hulls and corn cobs. used in making furan and as a solvent
coumarone;a colorless oily compound extracted from coal tar and used in manufacturing synthetic resins
cadmium sulfide;a yellow sulfide used chiefly as a pigment
groundnut oil;a oil from peanuts. used in cooking and making soap. 'groundnut oil' is british usage
potassium;a light soft silver-white metallic element of the alkali metal group. oxidizes rapidly in air and reacts violently with water. is abundant in nature in combined forms occurring in sea water and in carnallite and kainite and sylvite
niobium;a soft gray ductile metallic element used in alloys. occurs in niobite. formerly called columbium
apoenzyme;a protein that combines with a coenzyme to form an active enzyme
cafe royale;black coffee with cognac and lemon peel and sugar
goitrogen;any substance (such as thiouracil) that induces the formation of a goiter
am;a radioactive transuranic metallic element. discovered by bombarding uranium with helium atoms
creme de cacao;sweet liqueur flavored with vanilla and cacao beans
silver solder;a solder that contains silver
inorganic phosphate;a salt of phosphoric acid
joss stick;a slender stick of incense burned before a joss by the chinese
stout;strong dark heavy-bodied porter
terbium;a metallic element of the rare earth group. used in lasers. occurs in apatite and monazite and xenotime and ytterbite
phosphorous acid;a clear or yellow-colored monobasic acid (h3po2)
purine;a colorless crystalline organic base. the parent compound of various biologically important substances
krypton;a colorless element that is one of the six inert gasses. occurs in trace amounts in air
atomic number;a radioactive transuranic element that is similar to uranium. found in minute quantities in uranium ores but is usually synthesized in nuclear reactors. 13 isotopes are known with the most important being plutonium 239
headache powder;a powdered form of aspirin
ester;formed by reaction between an acid and an alcohol with elimination of water
azoimide;a colorless explosive liquid that is volatile and poisonous and foul-smelling
uranyl nitrate;a yellow salt obtained by the reaction of uranium salts with nitric acid
molybdenum steel;steel containing 10-15% molybdenum. properties are similar to tungsten steel
glycerinated gelatin;a gelatinous preparation made from gelatin and glycerin and water. used as a base for ointments and suppositories
saturated fatty acid;a fatty acid whose carbon chain cannot absorb any more hydrogen. found chiefly in animal fats
safflower oil;oil from safflower seeds used as food as well as in medicines and paints
pig lead;lead that is cast in pigs
carbide;a binary compound of carbon with a more electropositive element
earwax;a soft yellow wax secreted by glands in the ear canal
glucinium;a light strong brittle gray toxic bivalent metallic element
ni resist iron;cast iron consisting of graphite in a matrix of austenite
tambac;an alloy of copper and zinc (and sometimes arsenic) used to imitate gold in cheap jewelry and for gilding
naval brass;alpha-beta brass containing tin. resistant to sea water. admiralty metal is a trademark
rioja;dry red table wine from the rioja region of northern spain
yak s milk;the milk of a yak
tom collins;tall iced drink of liquor (usually gin) with fruit juice
tri iodothyronine;thyronine with three iodine atoms added
ratafia;sweet liqueur made from wine and brandy flavored with plum or peach or apricot kernels and bitter almonds
synthetic;a compound made artificially by chemical reactions
mire;a soft wet area of low-lying land that sinks underfoot
hyper eutectoid steel;a steel that contains more than 0.9% carbon
soda;a sodium salt of carbonic acid. used in making soap powders and glass and paper
phenolic resin;a thermosetting resin
adenylic acid;a nucleotide found in muscle cells and important in metabolism. reversibly convertible to adp and atp
caffein;a bitter alkaloid found in coffee and tea that is responsible for their stimulating effects
fossil copal;partly mineralized copal dug from the ground
slough;a stagnant swamp (especially as part of a bayou)
pa;a short-lived radioactive metallic element formed from uranium and disintegrating into actinium and then into lead
orthophosphoric acid;an acid used in fertilizers and soaps: h3po4
tilth;land that is worked by plowing and sowing and raising crops
grapefruit juice;bottled juice of grapes
linolic acid;a liquid polyunsaturated fatty acid abundant in plant fats and oils. a fatty acid essential for nutrition. used to make soap
chrome nickel steel;elinvar is a trademark for a kind of nickel-chromium steel used for watch springs because its elasticity is constant over a wide range of temperatures
blended whisky;mixture of two or more whiskeys or of a whiskey and neutral spirits
inorganic compound;any compound that does not contain carbon
atomic number;a soft yellowish-white trivalent metallic element of the rare earth group. can be recovered from bastnasite or monazite by an ion-exchange process
stand oil;a thick oil comprised of linseed, tung, or soya oils which have been heated to over 300 c
carotene;an orange isomer of an unsaturated hydrocarbon found in many plants. is converted into vitamin a in the liver
atomic number;a soft silver-white or yellowish metallic element of the alkali metal group. turns yellow in air. occurs in celestite and strontianite
ingot iron;iron of high purity
pyroligneous acid;a red-brown liquid formed in distillation of wood which contains acetic acid, methanol, acetone, wood oils, and tars
potassium hydrogen tartrate;a salt used especially in baking powder
ir;a heavy brittle metallic element of the platinum group. used in alloys. occurs in natural alloys with platinum or osmium
cumarone;a colorless oily compound extracted from coal tar and used in manufacturing synthetic resins
philosopher s wool;oxide of zinc. a white powder used as a pigment or in cosmetics or glass or inks and in zinc ointment
aniline oil;oily poisonous liquid amine obtained from nitrobenzene and used to make dyes and plastics and medicines
acid;any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt
tombac;an alloy of copper and zinc (and sometimes arsenic) used to imitate gold in cheap jewelry and for gilding
simple protein;a protein that yields only amino acids when hydrolyzed
erythrolysin;any substance that can cause lysis (destruction) of erythrocytes (red blood cells) and the release of their hemoglobin
bloody shame;bloody_mary without alcohol
cadmium;a soft bluish-white ductile malleable toxic bivalent metallic element. occurs in association with zinc ores
zirconium dioxide;a white crystalline oxide. used in refractories and in insulation and abrasives and enamels and glazes
he;a very light colorless element that is one of the six inert gasses. the most difficult gas to liquefy. occurs in economically extractable amounts in certain natural gases (as those found in texas and kansas)
atomic number;a heavy ductile magnetic metallic element. is silver-white in pure form but readily rusts. used in construction and tools and armament. plays a role in the transport of oxygen by the blood
scrap iron;iron to be remelted and reworked
milk;milk obtained from dairy cows
peroxide;a viscous liquid with strong oxidizing properties. a powerful bleaching agent. also used as a disinfectant and (in strong concentrations) as an oxidant in rocket fuels
straw wine;sweet wine from grapes partially sun-dried on the vine or on straw mats
hydrogen sulfide;a sulfide having the unpleasant smell of rotten eggs
hydroxyproline;a crystalline amino acid obtained from gelatin or collagen
manhattan;whiskey and sweet vermouth with a dash of bitters
slaked lime;a caustic substance (ca(oh)2) produced by heating limestone
corrosive;a substance having the tendency to cause corrosion (such a strong acids or alkali)
ade;a sweetened beverage of diluted fruit juice
aluminum chloride;a chloride used as a wood preservative or catalyst
sodium bicarbonate;a white soluble compound used in effervescent drinks and in baking powders and as an antacid
os;a hard brittle blue-gray or blue-black metallic element that is one of the platinum metals. the heaviest metal known
ethanediol;a sweet but poisonous syrupy liquid used as an antifreeze and solvent
frozen orange juice;orange juice that has been concentrated and frozen
bone oil;the liquid portion of bone fat. used as a lubricant and in leather manufacture
ground;"what plants grow in (especially with reference to its quality or use). 'the land had never been plowed'. 'good agricultural soil'"
atomic number;a soft silver-white univalent element of the alkali metal group. the lightest metal known. occurs in several minerals
rhennish;any of several white wines from the rhine river valley in germany ('hock' is british usage)
2 methylpropenoic acid;an unsaturated acid (c4h6o2) used to make resins and plastics
spring water;underground water that is held in the soil and in pervious rocks
inulin;used to manufacture fructose and in assessing kidney function
absinth;strong green liqueur flavored with wormwood and anise
nb;a soft gray ductile metallic element used in alloys. occurs in niobite. formerly called columbium
seltzer;effervescent beverage artificially charged with carbon dioxide
paraffin scale;partly refined paraffin wax
sodium dichromate;a red-orange salt used as a mordant
oleoresin;a naturally occurring mixture of a resin and an essential oil. obtained from certain plants
liquid;a substance in the fluid state of matter having no fixed shape but a fixed volume
deoxyribonucleic acid;a nucleic acid consisting of large molecules shaped like a double helix. associated with the transmission of genetic information
aldol;an oily colorless liquid obtained by the condensation of two molecules of acetaldehyde
grasshopper;creme de menthe and cream sometimes with creme de cacao
wood tar;any tar obtained by the destructive distillation of wood
gin sling;a sling made with gin
phenoplast;a thermosetting resin
plutonium;a radioactive transuranic element that is similar to uranium. found in minute quantities in uranium ores but is usually synthesized in nuclear reactors. 13 isotopes are known with the most important being plutonium 239
methyl bromide;a poisonous gas or liquid (ch3br) used to fumigate rodents, worms, etc.
mineral oil;a distillate of petroleum, especially one used medicinally
helium;a very light colorless element that is one of the six inert gasses. the most difficult gas to liquefy. occurs in economically extractable amounts in certain natural gases (as those found in texas and kansas)
grain alcohol;the intoxicating agent in fermented and distilled liquors. used pure or denatured as a solvent or in medicines and colognes and cleaning solutions and rocket fuel
salol;a white powder with a pleasant taste and odor. used to absorb light in sun tan lotions or as a preservative or an antiseptic or a coating for pills in which the medicine is intended for enteric release
ethyl alcohol;the intoxicating agent in fermented and distilled liquors. used pure or denatured as a solvent or in medicines and colognes and cleaning solutions and rocket fuel
corn;distilled from a mash of not less than 80 percent corn
kauri resin;resin of the kauri trees of n zealand. found usually as a fossil. also collected for making varnishes and linoleum
atomic number;a ductile silvery-white ductile ferromagnetic trivalent metallic element of the rare earth group
sodium chlorate;a colorless salt (naclo3) used as a weed killer and an antiseptic
canary wine;a sweet white wine from the canary islands
epinephrin;a hormone secreted by the adrenal medulla in response to stress (trade name adrenalin). stimulates autonomic nerve action
ormolu;brass that looks like gold. used to decorate furniture
leaf fat;fat lining the abdomen and kidneys in hogs which is used to make lard
moonshine;illegally whiskey distilled from a corn mash
dibasic acid;an acid containing two replaceable hydrogen atoms per molecule
atomic number;a brittle silver-white metalloid element that is related to selenium and sulfur. it is used in alloys and as a semiconductor. occurs mainly as tellurides in ores of copper and nickel and silver and gold
curare;a toxic alkaloid found in certain tropical south american trees that is a powerful relaxant for striated muscles. used by south american indians as an arrow poison. 'curare acts by blocking cholinergic transmission at the myoneural junction'
atomic number;a soft heavy toxic malleable metallic element. bluish white when freshly cut but tarnishes readily to dull gray. 'the children were playing with lead soldiers'
se;a toxic nonmetallic element related to sulfur and tellurium. occurs in several allotropic forms. a stable gray metallike allotrope conducts electricity better in the light than in the dark and is used in photocells. occurs in sulfide ores (as pyrite)
permanganate;a dark purple salt of permanganic acid. in water solution it is used as a disinfectant and antiseptic
phenylethylene;a colorless oily liquid. the monomer for polystyrene
courbaril copal;resin from the courbaril tree
y;a silvery metallic element that is common in rare-earth minerals. used in magnesium and aluminum alloys
juniperic acid;a crystalline acid found in the exudations of some conifers
hydroxide;a chemical compound containing the hydroxyl group
sodium hypochlorite;an unstable salt (naocl) used as a bleaching agent and disinfectant
terpene;an unsaturated hydrocarbon obtained from plants
nitrous acid;an unstable inorganic acid known only in solution and as nitrite salts
cerumen;a soft yellow wax secreted by glands in the ear canal
glyceryl ester;an ester of glycerol
propylene;a flammable gas obtained by cracking petroleum. used in organic synthesis
myristic acid;a saturated fatty acid occurring naturally in animal and vegetable fats
tonic;lime- or lemon-flavored carbonated water containing quinine
maleate;a salt or ester of maleic acid
duralumin;(trademark) an aluminum-based alloy
silicon bronze;a bronze with 2-3% silicon that is resistant to corrosion
wetland;a low area where the land is saturated with water
vanadic acid;any of various oxyacids of vanadium. known mostly in the form of its salts
mrna;the form of rna that carries information from dna in the nucleus to the ribosome sites of protein synthesis in the cell
altar wine;used in a communion service
beet sugar;sugar made from sugar beets
mendelevium;a radioactive transuranic element synthesized by bombarding einsteinium with alpha particles
mercury;a heavy silvery toxic univalent and bivalent metallic element. the only metal that is liquid at ordinary temperatures
chromium;a hard brittle blue-white multivalent metallic element. resistant to corrosion and tarnishing
floor wax;a preparation containing wax and used to polish and preserve the finish of floors
tolu;an aromatic balsam
no;a radioactive transuranic element synthesized by bombarding curium with carbon ions. 7 isotopes are known
rock oil;a dark oil consisting mainly of hydrocarbons
diamine;an chemical compound containing two amino groups
koumiss;an alcoholic beverage made from fermented mare's milk. made originally by nomads of central asia
radiochlorine;a radioactive isotope of chlorine
octadecanoic acid;a waxy saturated fatty acid. occurs widely as a glyceride in animal and vegetable fats
neutral spirits;nonflavored alcohol of 95 percent or 190 proof used for blending with straight whiskies and in making gin and liqueurs
love philter;a drink credited with magical power. can make the one who takes it love the one who gave it
alloy iron;cast iron containing alloying elements (usually nickel or chromium or copper or molybdenum) to increase the strength or facilitate heat treatment
carbon disulfide;a toxic colorless flammable liquid (cs2). used in the manufacture of rayon and cellophane and carbon tetrachloride and as a solvent for rubber
limonene;a liquid terpene with a lemon odor. found in lemons and oranges and other essential oils
grappa;italian brandy made from residue of grapes after pressing
sour mash;any whiskey distilled from sour mash
fluoroboric acid;an acid of fluorine and boron
labdanum;a dark brown to greenish oleoresin that has a fragrant odor and is used as a fixative in perfumes. obtained as a juice from certain rockroses
neodymium;a yellow trivalent metallic element of the rare earth group. occurs in monazite and bastnasite in association with cerium and lanthanum and praseodymium
highball;alcoholic liquor mixed with water or a carbonated beverage and served in a tall glass
quicksilver;a heavy silvery toxic univalent and bivalent metallic element. the only metal that is liquid at ordinary temperatures
vegetable wax;wax from plants. especially from the trunks of certain palms
paraffin oil;british usage
palladium;a sliver-white metallic element of the platinum group that resembles platinum. occurs in some copper and nickel ores. does not tarnish at ordinary temperatures and is used (alloyed with gold) in jewelry
atomic number;a soft silvery metallic element of the rare earth group having no stable isotope. was discovered in radioactive form as a fission product of uranium
azadirachtin;insecticide
cassiri;a drink resembling beer. made from fermented cassava juice
muscat;wine from muscat grapes
metallic element;any of several chemical elements that are usually shiny solids that conduct heat or electricity and can be formed into sheets etc.
wood spirit;a light volatile flammable poisonous liquid alcohol. used as an antifreeze and solvent and fuel and as a denaturant for ethyl alcohol
hyponitrous acid;an explosive white crystalline weak acid (h2n2o2)
fig wax;a hard cream-colored wax obtained from a javanese fig tree
nitrite;salt or ester of nitrous acid
cupric sulfate;a copper salt made by the action of sulfuric acid on copper oxide
plexiglass;(trademark) a light transparent weather resistant thermoplastic
coordination compound;a compound described in terms of the central atom to which other atoms are bound or coordinated
bock beer;strong dark beer brewed in the fall and aged through the winter for spring consumption
overburden;the surface soil that must be moved away to get at coal seams and mineral deposits
tetrachloromethane;a colorless nonflammable liquid used as a solvent for fats and oils. because of its toxicity its use as a cleaning fluid or fire extinguisher has declined
hydromel;honey diluted in water. becomes mead when fermented
fixative;a compound (such as ethanol or formaldehyde) that fixes tissues and cells for microscopic study
iodothyronine;thyronine with iodine added
